,player_name,team,G,xHG,xPCT,HG,PCT
668,Skye Bolt,OAK,5,1,20.0,1,20.0
684,Alex Wood,CIN,7,1,14.285714285714285,1,14.285714285714285
751,Shaun Anderson,SF,15,1,6.666666666666667,1,6.666666666666667
802,Gregory Soto,DET,1,1,100.0,1,100.0
831,Frank Schwindel,KC,6,1,16.666666666666664,1,16.666666666666664
909,Trent Thornton,TOR,1,1,100.0,1,100.0
276,Jake Odorizzi,MIN,2,1,50.0,0,0.0
582,Eric Haase,CLE,8,1,12.5,0,0.0
928,Andrew Stevenson,WSH,29,0,0.0,11,37.93103448275862
352,Miles Mikolas,STL,31,0,0.0,8,25.806451612903224
172,Adrian Sanchez,WSH,24,0,0.0,7,29.166666666666668
254,Sonny Gray,CIN,28,0,0.0,7,25.0
539,Zach Davies,MIL,31,0,0.0,7,22.58064516129032
157,Jeff Samardzija,SF,29,0,0.0,6,20.689655172413794
378,Dallas Keuchel,ATL,19,0,0.0,5,26.31578947368421
617,Michael Wacha,STL,22,0,0.0,5,22.727272727272727
836,Sandy Alcantara,MIA,31,0,0.0,5,16.129032258064516
920,Chris Paddack,SD,24,0,0.0,5,20.833333333333336
21,Rajai Davis,NYM,21,0,0.0,4,19.047619047619047
165,Chase Anderson,MIL,27,0,0.0,4,14.814814814814813
626,Travis Jankowski,SD,16,0,0.0,4,25.0
775,Eric Lauer,SD,28,0,0.0,4,14.285714285714285
931,Tony Gonsolin,LAD,8,0,0.0,4,50.0
936,Taylor Clarke,ARI,15,0,0.0,4,26.666666666666668
48,Rich Hill,LAD,10,0,0.0,3,30.0
54,Jason Vargas,PHI,24,0,0.0,3,12.5
179,Jose Pirela,PHI,14,0,0.0,3,21.428571428571427
184,Christian Colon,CIN,8,0,0.0,3,37.5
240,Tyler Chatwood,CHC,16,0,0.0,3,18.75
292,Trevor Bauer,CIN,11,0,0.0,3,27.27272727272727
388,Ronald Torreyes,MIN,7,0,0.0,3,42.857142857142854
690,Donnie Walton,SEA,6,0,0.0,3,50.0
720,Tzu-Wei Lin,BOS,8,0,0.0,3,37.5
739,Julio Urias,LAD,14,0,0.0,3,21.428571428571427
934,Joey Lucchesi,SD,28,0,0.0,3,10.714285714285714
985,Trevor Richards,MIA,19,0,0.0,3,15.789473684210526
989,Nick Margevicius,SD,12,0,0.0,3,25.0
310,Ross Stripling,LAD,14,0,0.0,2,14.285714285714285
331,Steven Baron,PIT,6,0,0.0,2,33.33333333333333
401,Mike Foltynewicz,ATL,19,0,0.0,2,10.526315789473683
433,Jameson Taillon,PIT,5,0,0.0,2,40.0
523,Nick Pivetta,PHI,14,0,0.0,2,14.285714285714285
555,Joe Ross,WSH,11,0,0.0,2,18.181818181818183
586,Erick Fedde,WSH,12,0,0.0,2,16.666666666666664
597,Kyle Freeland,COL,18,0,0.0,2,11.11111111111111
639,Cal Quantrill,SD,18,0,0.0,2,11.11111111111111
709,Andrew Velazquez,CLE,12,0,0.0,2,16.666666666666664
710,Abiatal Avelino,SF,4,0,0.0,2,50.0
732,Edmundo Sosa,STL,7,0,0.0,2,28.57142857142857
778,Tyler Mahle,CIN,21,0,0.0,2,9.523809523809524
805,Freddy Peralta,MIL,10,0,0.0,2,20.0
821,Zack Godley,TOR,14,0,0.0,2,14.285714285714285
876,Alex McRae,PIT,6,0,0.0,2,33.33333333333333
966,Bryse Wilson,ATL,5,0,0.0,2,40.0
968,Corbin Burnes,MIL,5,0,0.0,2,40.0
979,Jake Noll,WSH,8,0,0.0,2,25.0
20,Francisco Liriano,PIT,2,0,0.0,1,50.0
38,Jesse Chavez,TEX,1,0,0.0,1,100.0
47,Wilkin Castillo,MIA,2,0,0.0,1,50.0
52,Junior Guerra,MIL,3,0,0.0,1,33.33333333333333
75,David Price,BOS,1,0,0.0,1,100.0
76,Hector Noesi,MIA,3,0,0.0,1,33.33333333333333
104,Gio Gonzalez,MIL,18,0,0.0,1,5.555555555555555
122,Jeremy Hellickson,WSH,8,0,0.0,1,12.5
158,Mike Leake,ARI,11,0,0.0,1,9.090909090909092
160,Trevor Cahill,LAA,2,0,0.0,1,50.0
167,Derek Holland,CHC,12,0,0.0,1,8.333333333333332
190,Danny Duffy,KC,2,0,0.0,1,50.0
206,Will Smith,SF,2,0,0.0,1,50.0
214,Wilmer Font,NYM,3,0,0.0,1,33.33333333333333
232,Tyler Anderson,COL,5,0,0.0,1,20.0
236,Brad Brach,CHC,5,0,0.0,1,20.0
248,Oliver Drake,TB,1,0,0.0,1,100.0
251,Drew Gagnon,NYM,2,0,0.0,1,50.0
274,Mike Montgomery,KC,5,0,0.0,1,20.0
333,Matthew Boyd,DET,1,0,0.0,1,100.0
339,David Freitas,MIL,17,0,0.0,1,5.88235294117647
403,Kevin Gausman,ATL,14,0,0.0,1,7.142857142857142
404,Chi Chi Gonzalez,COL,12,0,0.0,1,8.333333333333332
423,Drew Robinson,STL,5,0,0.0,1,20.0
431,Brock Stewart,LAD,2,0,0.0,1,50.0
465,Marco Gonzales,SEA,2,0,0.0,1,50.0
474,Mike Gerber,SF,9,0,0.0,1,11.11111111111111
482,R.J. Alaniz,CIN,1,0,0.0,1,100.0
494,Daniel Norris,DET,3,0,0.0,1,33.33333333333333
533,John Brebbia,STL,1,0,0.0,1,100.0
