Year,Tm,WAR,Salary,Position
2000,PIT,-0.1,"$2,050,000",P
2000,TOR,-1.3,"$500,000",LF
2000,BOS,0.0,"$2,000,000",P
2000,FLA,-0.1,,P
2000,ARI,1.1,,2B
2000,TBD,1.2,"$200,000",RF
2000,TEX,0.0,"$975,000",P
2000,BOS,,,P
2000,CHW,0.0,,3B
2000,TBD,0.0,,P
2000,SFG,0.4,"$232,000",LF
2000,MIN,,"$200,000",P
2000,CIN,0.2,"$200,000",1B
2000,HOU,-0.2,,3B
2000,2TM,0.3,,P
2000,DET,2.6,"$1,975,000",SS
2000,PIT,-0.3,,1B
2000,CLE,0.2,"$227,500",CF
2000,TOR,2.5,"$395,000",CF
2000,DET,0.0,"$250,000",P
2000,2TM,0.0,,P
2000,2TM,0.4,"$300,000",RF
2000,SDP,0.0,"$230,000",P
2000,TEX,0.3,"$2,000,000",LF
2000,Tm,WAR,Salary,
2000,MIL,-0.2,,P
2000,KCR,0.0,,P
2000,2TM,0.6,"$5,625,000",P
2000,KCR,6.2,"$4,000,000",CF
2000,FLA,0.0,"$240,000",P
2000,SDP,0.8,,RF
2000,BOS,0.2,"$295,000",1B
2000,SDP,0.0,,P
2000,SDP,-0.3,,C
2000,TEX,0.0,,P
2000,STL,1.4,"$4,420,840",RF
2000,2TM,0.0,,P
2000,SFG,-0.6,"$1,000,000",3B
2000,CIN,-0.3,,SS
2000,MON,0.2,,SS
2000,MIL,-0.1,"$210,000",P
2000,SDP,0.1,"$200,000",RF
2000,COL,0.0,"$560,000",P
2000,SFG,0.1,,P
2000,TOR,7.3,"$6,600,000",1B
2000,2TM,0.8,"$213,000",2B
2000,ARI,-0.1,"$312,500",RF
2000,FLA,-0.6,"$268,000",P
2000,CLE,,,P
2000,ATL,0.1,,SS
2000,Tm,WAR,Salary,
2000,BAL,3.1,"$4,209,324",2B
2000,CIN,0.0,,P
2000,TOR,0.0,,P
2000,CLE,1.2,"$237,500",C
2000,ANA,,"$375,000",P
2000,TBD,-0.1,"$525,000",C
2000,NYY,,,P
2000,COL,0.0,"$2,350,000",P
2000,ANA,0.5,"$3,225,000",SS
2000,LAD,0.3,,LF
2000,HOU,-0.5,"$240,000",P
2000,2TM,-0.2,,P
2000,TEX,0.0,,SS
2000,LAD,0.4,"$3,700,000",P
2000,STL,3.6,"$1,750,000",RF
2000,CLE,,,P
2000,2TM,-0.4,"$500,000",LF
2000,STL,0.3,"$600,000",LF
2000,KCR,-1.5,"$232,500",CF
2000,ARI,0.3,"$260,000",1B
2000,KCR,,"$203,000",P
2000,CHW,3.1,"$4,900,000",2B
2000,ANA,-0.2,,2B
2000,TBD,,,P
2000,KCR,4.6,"$2,300,000",RF
2000,Tm,WAR,Salary,
2000,DET,4.0,"$3,950,000",2B
2000,SDP,0.7,,P
2000,2TM,-0.2,,1B
2000,STL,6.3,"$4,500,000",CF
2000,TBD,,"$300,000",P
2000,NYY,,,P
2000,HOU,-0.1,"$300,000",P
2000,CHW,0.2,"$5,400,000",P
2000,LAD,0.5,"$300,000",SS
2000,SFG,0.0,"$1,450,000",P
2000,DET,1.9,"$325,000",CF
2000,TBD,,,P
2000,HOU,-0.2,,3B
2000,2TM,0.0,"$203,800",P
2000,BAL,0.1,"$6,620,921",P
2000,ANA,8.3,"$2,500,000",LF
2000,TOR,-0.1,"$500,000",P
2000,SFG,2.1,"$210,000",C
2000,SFG,0.3,"$2,450,000",P
2000,MIL,0.0,,P
2000,TOR,,,P
2000,ANA,0.0,"$200,000",P
2000,HOU,0.4,"$1,100,000",C
2000,TEX,0.0,"$220,000",3B
2000,BOS,4.7,"$5,000,333",CF
2000,Tm,WAR,Salary,
2000,CHW,,"$250,000",P
2000,KCR,0.3,"$500,000",C
2000,CHC,0.0,"$235,000",P
2000,OAK,0.6,"$240,000",C
2000,BOS,-0.1,"$2,000,000",P
2000,KCR,1.7,"$250,000",2B
2000,SFG,0.0,,3B
2000,FLA,0.0,"$7,000,000",P
2000,CIN,-0.1,,P
2000,LAD,0.0,"$550,000",P
2000,DET,0.2,"$200,000",1B
2000,ARI,0.1,,P
