player_name,team,G,xHG,xPCT,HG,PCT
Josh Fuentes,COL,23,2,8.7,7,30.4
Peter Lambert,COL,19,2,10.5,7,36.8
Kyle Garlick,LAD,29,2,6.9,7,24.1
Julio Teheran,ATL,32,2,6.2,6,18.8
Rangel Ravelo,STL,28,2,7.1,6,21.4
Trevor Williams,PIT,22,2,9.1,6,27.3
Aaron Nola,PHI,32,2,6.2,6,18.8
Miguel Andujar,NYY,12,2,16.7,6,50.0
Taylor Ward,LAA,17,2,11.8,6,35.3
Lane Thomas,STL,26,2,7.7,6,23.1
Jaylin Davis,SF,17,2,11.8,6,35.3
Anibal Sanchez,WSH,27,2,7.4,5,18.5
Anthony Bemboom,LAA,22,2,9.1,5,22.7
Luis Castillo,CIN,31,2,6.5,5,16.1
Jake Fraley,SEA,11,2,18.2,5,45.5
Domingo Leyba,ARI,20,2,10.0,5,25.0
Cole Hamels,CHC,23,2,8.7,4,17.4
Erik Kratz,TB,19,2,10.5,4,21.1
Juan Graterol,CIN,6,2,33.3,4,66.7
Cristhian Adames,SF,9,2,22.2,4,44.4
Robbie Ray,ARI,30,2,6.7,4,13.3
Jorge Bonifacio,KC,5,2,40.0,4,80.0
Aramis Garcia,SF,17,2,11.8,4,23.5
Dom Nunez,COL,15,2,13.3,4,26.7
Brian O'Grady,CIN,27,2,7.4,4,14.8
Ryan Flaherty,CLE,8,2,25.0,3,37.5
Peter Bourjos,LAA,16,2,12.5,3,18.8
Ryan LaMarre,MIN,12,2,16.7,3,25.0
Kaleb Cowart,LAA,8,2,25.0,3,37.5
Noah Syndergaard,NYM,30,2,6.7,3,10.0
Socrates Brito,TOR,14,2,14.3,3,21.4
Ryan Court,SEA,10,2,20.0,3,30.0
Franchy Cordero,SD,9,2,22.2,3,33.3
Max Moroff,CLE,15,2,13.3,3,20.0
Rene Rivera,NYM,8,2,25.0,2,25.0
Dustin Pedroia,BOS,6,2,33.3,2,33.3
Taylor Davis,CHC,7,2,28.6,2,28.6
Ryan Lavarnway,CIN,5,2,40.0,2,40.0
Beau Taylor,OAK,11,2,18.2,2,18.2
Max Scherzer,WSH,27,1,3.7,9,33.3
Magneuris Sierra,MIA,13,1,7.7,9,69.2
Andrew Knizner,STL,17,1,5.9,9,52.9
Jon Lester,CHC,28,1,3.6,8,28.6
Michael Lorenzen,CIN,28,1,3.6,8,28.6
Adam Wainwright,STL,29,1,3.4,7,24.1
Joe Musgrove,PIT,33,1,3.0,7,21.2
Zach Eflin,PHI,28,1,3.6,7,25.0
Madison Bumgarner,SF,35,1,2.9,6,17.1
Anthony DeSclafani,CIN,30,1,3.3,6,20.0
Kyle Hendricks,CHC,29,1,3.4,6,20.7
Vince Velasquez,PHI,22,1,4.5,6,27.3
Brett Phillips,KC,26,1,3.8,6,23.1
Pablo Lopez,MIA,21,1,4.8,6,28.6
Clayton Kershaw,LAD,27,1,3.7,5,18.5
Jose Quintana,CHC,31,1,3.2,5,16.1
