Name,Position,School,Division,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Innings Pitched (IP),Wins (W),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Connor Green,RHP,Minot State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,2,1.2,0,0.0,0,3
Jaden Griffin,LHP,Virginia Commonwealth University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,10,19.0,2,3.32,1,17
Tevin Hall,LHP,Utah Valley University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,9,17.1,0,5.19,0,14
Ethan Hammond,OF,Trinidad State,JUCO: Division 1,33,83,34,27,7,0,4,15,0,0.325,0.521,0.554,1.075,0,0.0,0,0.0,0,0
Evan Harrison,RHP,Gannon University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,6,7.2,0,4.7,0,8
Griffin Hassall,RHP,Kansas State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,5,7.1,0,7.36,0,4
Mitchell Haywood,C,CCBC Essex,JUCO: Division 2,23,62,16,22,9,0,0,16,2,0.355,0.487,0.5,0.987,0,0.0,0,0.0,0,0
Reece Helland,RHP,Monterey Peninsula College,California CC,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2.1,0,0.0,1,1
Carson Heroux,LHP,Lake Region State,JUCO: Division 2,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,22.2,2,9.13,0,25
Connor Hicks,C,Mineral Area,JUCO: Division 1,33,113,48,50,12,0,14,44,7,0.442,0.538,0.92,1.458,0,0.0,0,0.0,0,0
Adam Hill,RHP,Jefferson (MO),JUCO: Division 1,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,27.2,2,7.81,0,19
Jackson Hogg,OF,Marian University,NAIA,34,0,20,36,10,0,2,26,0,0.295,0.346,0.426,0.772,0,,0,,0,0
Nathan Holmes,RHP,University of Texas at Tyler,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,15,25.2,2,2.45,1,21
Tim Holyk,IF,Miles,JUCO: Division 2,37,104,37,38,8,0,8,38,1,0.365,0.484,0.673,1.157,0,0.0,0,0.0,0,0
Steven Hospital,RHP,Niagara University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,10,11.1,1,4.76,1,11
Adam Inouye,SS,Academy of Art University,NCAA: Division 2,20,68,12,21,2,0,0,8,2,0.309,0.377,0.338,0.715,0,,0,,0,0
Hunter James,IF,University of Northwestern Ohio,NAIA,13,0,10,14,2,3,0,8,0,0.467,0.6,0.733,1.333,0,,0,,0,0
Tylor Jans,RHP,University of Louisiana at Monroe,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,5,10.1,0,6.97,0,12
Antoine Jean,LHP,University of Alabama,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,7,26.1,2,3.76,0,24
Jayden Jeminson,OF,Tompkins Cortland,JUCO: Division 3,14,45,6,10,1,1,0,3,2,0.222,0.271,0.289,0.56,0,0.0,0,0.0,0,0
Sam Jewiss,IF/UTL,Corning,JUCO: Division 3,10,21,2,1,0,0,0,1,0,0.048,0.167,0.048,0.215,0,0.0,0,0.0,0,0
Kian Johnston,1B/OF,Eastern New Mexico University,NCAA: Division 2,16,51,7,10,1,0,1,4,0,0.196,0.288,0.275,0.563,0,,0,,0,0
Ben Jones,IF,Mineral Area,JUCO: Division 1,34,121,44,52,7,2,2,31,20,0.43,0.532,0.57,1.102,0,0.0,0,0.0,0,0
Joseph Karall,RHP,Southeast Missouri State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,4,1.2,0,48.6,0,1
Jason Kauffeldt,OF,Houghton College,NCAA: Division 3,22,81,20,19,3,1,1,20,7,0.235,0.309,0.333,0.642,0,,0,,0,0
Trent King,LHP,Allegany Maryland,JUCO: Division 2,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,22.2,2,14.69,1,21
Deric LaMontagne,INF,Lamar University,NCAA: Division 1,19,65,10,24,3,0,3,11,0,0.369,0.414,0.554,0.968,0,,0,,0,0
Nathan Landry,LHP,Mineral Area,JUCO: Division 1,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,39.2,4,5.9,0,64
Josh Laukkanen,RHP,New Mexico State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,10,29.0,1,8.38,0,29
Marshall Leishman,LHP,Lake Michigan,JUCO: Division 2,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,29.0,2,2.48,0,36
Kyle Lev,RHP,Siena College,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,1,1.0,0,18.0,0,2
Gavin Logan,C,Oregon State University,NCAA: Division 1,8,20,4,7,2,0,1,4,0,0.35,0.381,0.6,0.981,0,,0,,0,0
Max Lojko,RHP,Lourdes University,NAIA,0,0,0,0,0,0,0,0,0,,,,,11,13.0,0,4.85,0,6
Noah London,OF,University of Northwestern Ohio,NAIA,27,0,11,3,0,0,0,2,0,0.15,0.393,0.15,0.543,0,,0,,0,0
Clayton Loranger,OF,Stephen F. Austin State University,NCAA: Division 1,31,73,10,17,2,2,1,7,3,0.233,0.317,0.356,0.673,0,,0,,0,0
Chris Louie,OF,Dawson,JUCO: Division 2,5,9,2,2,0,0,0,1,2,0.222,0.3,0.222,0.522,0,0.0,0,0.0,0,0
Marshal Luiz,C,Jackson State University,NCAA: Division 1,18,56,16,13,1,0,1,18,0,0.232,0.436,0.304,0.74,0,,0,,0,0
Caleb Lumbard,C,Texas Wesleyan University,NAIA,5,0,0,1,0,0,0,2,0,0.111,0.273,0.111,0.384,0,,0,,0,0
Jaret Lupton,INF,Lake Region State,JUCO: Division 2,25,67,21,25,2,0,0,16,2,0.373,0.5,0.403,0.903,0,0.0,0,0.0,0,0
Reece Lysack,C,Bismarck State,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Mason MacLeod,RHP,Itasca,JUCO: Division 3,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,36.0,3,2.25,0,41
Evan Magill,C,Monroe CC,JUCO: Division 2,28,87,36,34,10,3,6,42,1,0.391,0.518,0.782,1.3,0,0.0,0,0.0,0,0
Jacob Mahoney,C,Lake Michigan,JUCO: Division 2,7,9,1,2,1,0,0,1,0,0.222,0.3,0.333,0.633,0,0.0,0,0.0,0,0
Keith Manby,RHP/INF,Miles,JUCO: Division 2,14,7,2,1,0,0,0,2,0,0.143,0.5,0.143,0.643,9,30.2,0,7.63,0,44
Keaton Mandryk,RHP,Southwest Baptist University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,2,1.0,0,18.0,0,2
Anthony Marcano,INF,Campbellsville University,NAIA,24,0,6,10,2,0,0,3,0,0.217,0.294,0.261,0.555,0,,0,,0,0
Leo Markotic,INF/OF,"Texas A&M University, Corpus Christi",NCAA: Division 1,37,109,10,26,5,0,0,7,5,0.239,0.331,0.284,0.615,0,,0,,0,0
Jack Marlin,OF/C,Midway University,NAIA,8,0,1,2,0,0,0,3,0,0.125,0.263,0.125,0.388,0,,0,,0,0
Daniel Martin,OF,Yavapai,JUCO: Division 1,39,104,20,25,2,0,1,12,4,0.24,0.342,0.288,0.63,0,0.0,0,0.0,0,0
Josh Martinez,RHP/OF,La Sierra University,NAIA,3,0,0,0,0,0,0,0,0,0.0,,0.0,,0,,0,,0,0
Josh Martinez,RHP/OF,La Sierra University,NAIA,0,0,0,0,0,0,0,0,0,,,,,3,6.2,0,13.5,0,3
Brogan McDougall,RHP,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Riley McErlean,C/RHP,The College of Wooster,NCAA: Division 3,4,2,1,1,1,0,0,2,0,0.5,0.5,1.0,1.5,0,,0,,0,0
Riley McErlean,C/RHP,The College of Wooster,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Ryan McFarland,RHP,Pratt,JUCO: Division 1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2.1,0,3.86,0,1
Kayne McGee,IF,West Liberty University,NCAA: Division 2,12,19,2,3,0,0,0,0,0,0.158,0.333,0.158,0.491,0,,0,,0,0
Davis McMillan,OF,Houghton College,NCAA: Division 3,20,60,10,14,1,4,0,9,2,0.233,0.313,0.383,0.696,0,,0,,0,0
Tyler McWillie,RHP/1B,Colby,JUCO: Division 1,31,68,17,25,1,0,9,32,0,0.368,0.494,0.779,1.273,9,44.0,3,6.14,0,39
Daniel Mercandelli,RHP,Lake Region State,JUCO: Division 2,12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12,22.2,0,8.74,0,18
Alexander Mio,LHP,Southeastern,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
James Mitchell,C/UTIL,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Dom Morea,1B,Tabor College,NAIA,7,0,2,1,0,0,0,2,0,0.125,0.333,0.125,0.458,0,,0,,0,0
Noah Murphy-Sealy,1B,Iowa Lakes,JUCO: Division 2,24,57,5,10,1,0,0,4,0,0.175,0.309,0.193,0.502,0,0.0,0,0.0,0,0
Owen Napieralski,C,"Louisiana State University, Shreveport",NAIA,20,0,8,13,3,0,1,9,0,0.333,0.458,0.487,0.945,0,,0,,0,0
Kyle Nash,RHP,D'Youville College,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,8,15.0,1,10.2,1,10
Dawson Neal,C/CIF,Southeastern Illinois,JUCO: Division 1,23,50,7,10,3,1,0,7,1,0.2,0.369,0.3,0.669,0,0.0,0,0.0,0,0
Logan Newman,OF,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Garrett Nicholson,LHP,Minot State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,4,8.0,1,6.75,0,12
Robert Nickell,"C,INF",Lake Region State,JUCO: Division 2,24,78,16,21,3,1,2,12,0,0.269,0.418,0.41,0.828,0,0.0,0,0.0,0,0
Shane Nixon,IF,University of Central Oklahoma,NCAA: Division 2,13,44,13,14,1,0,4,14,3,0.318,0.434,0.614,1.048,0,,0,,0,0
Matthew Nolin,LHP,Oakland University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,3,5.0,0,10.8,0,3
Ryan O'Halloran,IF,Orange Coast College,California CC,5,7,3,3,0,0,0,0,0,0.429,0.636,0.429,1.065,0,0.0,0,0.0,0,0
Zach Olson,OF,Colby,JUCO: Division 1,29,89,25,28,4,1,12,30,1,0.315,0.479,0.787,1.266,0,0.0,0,0.0,0,0
Bryce Oriold,RHP,Clarke University,NAIA,0,0,0,0,0,0,0,0,0,,,,,9,15.0,1,4.8,0,12
Damiano Palmegiani,INF,Southern Nevada,JUCO: Division 1,47,143,62,57,12,2,17,58,13,0.399,0.546,0.867,1.413,0,0.0,0,0.0,0,0
Remi Patry,UTL,Oklahoma Wesleyan University,NAIA,36,0,17,18,3,3,2,21,0,0.29,0.385,0.532,0.917,0,,0,,0,0
Jordan Peck,LHP/OF,Northwest Missouri State University,NCAA: Division 2,13,24,4,3,1,0,0,2,0,0.125,0.3,0.167,0.467,0,,0,,0,0
Noah Penney,C,Tiffin University,NCAA: Division 2,8,10,1,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,,0,,0,0
Dayton Peters,OF,Mineral Area,JUCO: Division 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Tristan Peters,OF,Southern Illinois University at Carbondale,NCAA: Division 1,38,137,36,49,13,1,2,35,12,0.358,0.471,0.511,0.982,0,,0,,0,0
Victor Plaz,INF,Clarendon,JUCO: Division 1,40,120,31,36,7,2,6,37,3,0.3,0.412,0.542,0.954,0,0.0,0,0.0,0,0
Zane Pollon,LHP,Mount Marty College,NAIA,0,0,0,0,0,0,0,0,0,,,,,4,4.2,0,11.57,0,7
Max Poole,RHP,Mars Hill University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,10,14.0,0,4.5,0,11
Anthony Quirion,INF,Lamar University,NCAA: Division 1,30,117,19,33,9,0,6,24,1,0.282,0.323,0.513,0.836,0,,0,,0,0
Dawson Rempel,RHP,Dakota,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
David Rhodes,RHP/DH,University of Washington,NCAA: Division 1,11,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
David Rhodes,RHP/DH,University of Washington,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,11,13.1,0,7.42,1,16
Steven Sanders,P,University of Charleston,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Parker Savard,INF,St. Cloud State University,NCAA: Division 2,21,27,5,11,1,0,0,1,1,0.407,0.448,0.444,0.892,0,,0,,0,0
Edouard Savoie,C/MIF,Northeastern Oklahoma A&M,JUCO: Division 1,28,90,30,28,8,1,3,25,5,0.311,0.413,0.522,0.935,0,0.0,0,0.0,0,0
Nathan Scragg,MIF,Dawson,JUCO: Division 2,30,58,28,12,3,0,0,9,15,0.207,0.303,0.259,0.562,0,0.0,0,0.0,0,0
Kye Seitz,1B,Bellevue,NW Athletic Conference,1,4,0,1,0,0,0,0,0,0.25,0.25,0.25,0.5,0,0.0,0,0.0,0,0
Neftaly Severino-Cronier,RHP,University of Evansville,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,1,,0,,0,0
Jesse Simpson,RHP,Shorter University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,14,28.1,2,6.35,0,19
Tyler Small,SS,Northeastern Oklahoma A&M,JUCO: Division 1,27,88,29,35,12,1,6,40,10,0.398,0.523,0.761,1.284,1,0.2,0,0.0,0,0
Tahj Smith,RHP,Lourdes University,NAIA,0,0,0,0,0,0,0,0,0,,,,,8,15.0,0,7.2,0,11
Marcus Strother,C,University of Toledo,NCAA: Division 1,32,98,17,20,8,1,3,13,1,0.204,0.316,0.398,0.714,0,,0,,0,0
Zachary Swanson,RHP,Park University Gilbert,NAIA,0,0,0,0,0,0,0,0,0,,,,,8,14.1,1,5.02,0,13
Matthew Taubensee,LHP,Lake-Sumter State,JUCO: Division 1,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,40.2,3,5.31,0,45
Colton Taylor,RHP,Frank Phillips,JUCO: Division 1,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13,22.0,0,11.45,3,21
Quinn Tocheniuk,RHP,Pratt,JUCO: Division 1,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,36.2,1,7.36,0,22
Louis-Christophe Turcotte,IF,Dakota,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Luke Turino,INF,Georgetown College,NAIA,46,0,38,41,12,0,6,37,0,0.272,0.38,0.47,0.85,0,,0,,0,0
Cole Van Every,RHP,Southwest Baptist University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,9,34.0,1,5.29,0,38
Torrin Vaselenak,IF,"University of Arkansas, Monticello",NCAA: Division 2,2,6,0,1,0,0,0,1,0,0.167,0.25,0.167,0.417,0,,0,,0,0
Martin Vincelli-Simard,INF,Sacramento State University,NCAA: Division 1,26,66,10,20,3,0,4,18,0,0.303,0.372,0.53,0.902,0,,0,,0,0
Stephen Wade,LHP,Eastern Oregon University,NAIA,0,0,0,0,0,0,0,0,0,,,,,1,0.0,0,,0,0
Matthew Watson,RHP,Biola University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,4,7.0,0,9.0,0,4
Jonah Weisner,INF,Allen County,JUCO: Division 1,24,78,24,25,1,0,2,12,7,0.321,0.443,0.41,0.853,0,0.0,0,0.0,0,0
Reese Whelen,C,Goshen College,NAIA,13,0,0,7,0,0,0,0,0,0.259,0.286,0.259,0.545,0,,0,,0,0
Matt Wiggins,RHP,Niagara University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,1,0.2,0,67.5,0,0
Hayden Wilcox,RHP,Wheeling Jesuit University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,7,18.1,0,7.85,0,16
Dion Wintjes,C/INF,Marian University,NAIA,41,0,21,40,9,0,9,39,0,0.274,0.384,0.521,0.905,0,,0,,0,0
Sam Worthen,RHP,Wilson College,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,2,2.0,0,0.0,0,1
Taisei Yahiro,LHP,Yavapai,JUCO: Division 1,15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,15,52.1,7,5.68,2,56
Brian Zapp,INF,"Miami University, Ohio",NCAA: Division 1,29,89,13,21,0,2,3,12,4,0.236,0.358,0.382,0.74,0,,0,,0,0
Tucker Zdunich,OF,Colby,JUCO: Division 1,35,107,27,28,4,1,6,18,2,0.262,0.392,0.486,0.878,0,0.0,0,0.0,0,0
Angus Adams,UTL,Elmira College,NCAA: Division 3,15,37,5,4,1,0,0,4,0,0.108,0.312,0.135,0.447,0,,0,,0,0
Ricky Alvarez,OF/RHP,Mid-America Christian University,NAIA,5,0,0,0,0,0,0,0,0,0.0,,0.0,,0,,0,,0,0
Ricky Alvarez,OF/RHP,Mid-America Christian University,NAIA,0,0,0,0,0,0,0,0,0,,,,,5,9.0,0,3.0,0,9
Conor Angel,RHP,University of Louisiana at Lafayette,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,7,8.1,0,6.48,0,9
Jordan Bahnuk,RHP,Southwestern Christian University,NAIA,0,0,0,0,0,0,0,0,0,,,,,16,28.1,3,4.76,7,35
Zack Banks,RHP,Lourdes University,NAIA,0,0,0,0,0,0,0,0,0,,,,,1,1.0,0,9.0,0,0
Malkolm Barrett,RHP,Wheeling Jesuit University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,1,0.2,0,27.0,0,0
Zachary Bayfield,LHP,Oberlin College,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,4,11.1,0,11.91,0,13
Owen Benson,OF,Lake Michigan,JUCO: Division 2,20,55,18,21,3,2,1,11,6,0.382,0.514,0.564,1.078,0,0.0,0,0.0,0,0
Tanner Bercier,RHP,University of Science and Arts of Oklahoma,NAIA,0,0,0,0,0,0,0,0,0,,,,,11,15.1,0,0.59,1,32
Jared Binsfeld,OF,University of Sioux Falls,NCAA: Division 2,30,98,17,26,5,1,1,15,6,0.265,0.348,0.367,0.715,0,,0,,0,0
Michael Bonaccorso,RHP,Saint Peter's University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,2,1.2,0,16.2,0,2
Ethan Boutkan,RHP,Brescia University,NAIA,0,0,0,0,0,0,0,0,0,,,,,6,9.2,0,6.52,0,8
Jacob Bouzide,INF/OF,Fort Hays State University,NCAA: Division 2,27,104,21,33,1,0,2,17,7,0.317,0.408,0.385,0.793,0,,0,,0,0
Dondrae Bremner,INF,University of Cincinnati,NCAA: Division 1,10,26,4,5,2,1,0,2,0,0.192,0.323,0.346,0.669,0,,0,,0,0
Declan Buckle,MIF,Minot State University,NCAA: Division 2,23,80,17,27,3,1,2,16,7,0.338,0.424,0.475,0.899,0,,0,,0,0
Rory Burke,RHP,Davis and Elkins College,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,4,3.2,0,7.36,0,7
Dustin Caplett,UTL,Lyon College,NAIA,19,0,5,7,0,0,0,4,0,0.25,0.5,0.25,0.75,0,,0,,0,0
Eric Cerantola,RHP,Mississippi State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,7,14.2,0,6.14,0,20
Sam Chaput,OF,Emporia State University,NCAA: Division 2,32,118,21,36,4,1,2,20,9,0.305,0.372,0.407,0.779,0,,0,,0,0
Denzel Clarke,OF,"California State University, Northridge",NCAA: Division 1,22,85,20,25,5,0,4,12,6,0.294,0.412,0.494,0.906,0,,0,,0,0
Matt Coutney,3B/1B,Old Dominion University,NCAA: Division 1,37,119,25,33,7,1,8,28,0,0.277,0.423,0.555,0.978,0,,0,,0,0
Rhys Cratty,IF,Southwest Baptist University,NCAA: Division 2,32,118,19,39,6,3,4,23,1,0.331,0.388,0.534,0.922,0,,0,,0,0
Hunter Cunningham,RHP,"Louisiana State University, Shreveport",NAIA,0,0,0,0,0,0,0,0,0,,,,,11,32.1,3,6.4,0,30
Jack DeCooman,LHP,"University of Arkansas, Little Rock",NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,13,39.1,0,6.18,0,28
Payton DeLuca,IF,Mayville State University,NAIA,18,0,8,15,3,1,0,3,0,0.288,0.403,0.385,0.788,0,,0,,0,0
Matthew Deen,LHP,Castleton University,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,8,19.2,1,4.12,0,32
Liam Devine,LHP,St. Bonaventure University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,4,21.1,2,6.75,0,17
Lucas DiLuca,INF,Eastern Illinois University,NCAA: Division 1,38,138,36,39,4,0,0,12,3,0.283,0.398,0.312,0.71,0,,0,,0,0
Danny Donnelly,OF,Tiffin University,NCAA: Division 2,28,94,28,32,8,1,1,19,10,0.34,0.461,0.479,0.94,0,,0,,0,0
Jacob Douglas,RHP,Fort Hays State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,5,5.0,0,19.8,0,1
Rilley Dube,C,West Virginia University Institute of Technology,NAIA,18,0,5,9,2,0,1,2,0,0.281,0.439,0.438,0.877,0,,0,,0,0
Kyle Espineli,INF,Notre Dame College,NCAA: Division 2,9,24,6,6,0,0,0,4,0,0.25,0.438,0.25,0.688,0,,0,,0,0
Devon Farrell,IF,Rockhurst University,NCAA: Division 2,20,53,8,17,2,0,0,4,0,0.321,0.4,0.358,0.758,0,,0,,0,0
Cristian Forgione,C/IN,St. Lawrence University,NCAA: Division 3,14,45,3,12,5,0,1,7,0,0.267,0.4,0.444,0.844,0,,0,,0,0
Colton Fountain,C,Cleary University,NAIA,25,0,5,25,4,1,0,5,0,0.316,0.46,0.392,0.852,0,,0,,0,0
Blake Gallagher,RHP/INF,Minot State University,NCAA: Division 2,4,15,5,4,1,0,1,1,1,0.267,0.45,0.533,0.983,0,,0,,0,0
Blake Gallagher,RHP/INF,Minot State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,3,2.0,0,13.5,1,3
Paul Georget,INF,Nebraska Wesleyan University,NCAA: Division 3,25,59,11,14,3,0,0,11,2,0.237,0.387,0.288,0.675,0,,0,,0,0
Andrew Giorno,RHP,Adrian College,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,2,4.2,0,9.64,0,3
Andres Gonzalez,IF,Mid-America Christian University,NAIA,35,0,18,29,3,0,2,16,0,0.276,0.342,0.362,0.704,0,,0,,0,0
Garrett Goodall,RHP,Embry-Riddle Aeronautical University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Soren Graversen,IF/OF,William Penn University,NAIA,38,0,28,36,7,2,9,41,0,0.324,0.423,0.667,1.09,0,,0,,0,0
James Hardy,RHP,Southwest Minnesota State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,4,3.2,0,17.18,0,4
Branden Hatley,LHP,Minot State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,6,10.0,1,4.5,0,8
Jonathan Henry,RHP/OF,Albany State University,NCAA: Division 2,11,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Jonathan Henry,RHP/OF,Albany State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,11,22.2,2,3.57,0,19
Shaun Hickey,RHP,University of Mary,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,6,3.1,0,45.9,0,10
Liam Hicks,INF/C,Arkansas State University,NCAA: Division 1,25,90,17,33,6,0,2,15,0,0.367,0.508,0.5,1.008,0,,0,,0,0
Joseph Holguin,OF,Eastern New Mexico University,NCAA: Division 2,4,5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,,0,,0,0
Aidan Huggins,INF,Illinois State University,NCAA: Division 1,35,127,19,35,6,1,1,9,1,0.276,0.38,0.362,0.742,0,,0,,0,0
Ethan Hunt,OF,Oklahoma Panhandle State University,NAIA,14,0,13,17,6,0,1,8,0,0.37,0.473,0.565,1.038,0,,0,,0,0
Peter Hutzal,INF,Marshall University,NCAA: Division 1,31,101,12,22,3,1,5,11,0,0.218,0.264,0.416,0.68,0,,0,,0,0
Matthew Ing,OF/INF,Nyack College,NCAA: Division 2,15,38,13,10,2,0,1,8,5,0.263,0.491,0.395,0.886,0,,0,,0,0
Sam Jalbert,RHP,Saint Josephs College of Maine,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,5,12.2,2,9.24,0,18
Ethan Jarvis,1B/LHP,Salem University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Ethan Jarvis,1B/LHP,Salem University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Matthew Jenkins,OF,Harvard University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Brandon Job,INF,Hilbert College,NCAA: Division 3,18,61,6,17,2,0,1,12,0,0.279,0.333,0.361,0.694,0,,0,,0,0
Dylan Johnson,C,Adrian College,NCAA: Division 3,12,20,3,5,1,1,0,3,0,0.25,0.375,0.4,0.775,0,,0,,0,0
Ryan Johnston,INF,Bowling Green State University,NCAA: Division 1,24,74,8,14,3,0,0,4,2,0.189,0.294,0.23,0.524,0,,0,,0,0
Matthew Johnston,P,Mayville State University,NAIA,0,0,0,0,0,0,0,0,0,,,,,11,40.0,3,3.6,0,38
Travis Keys,LHP,Aquinas College,NAIA,0,0,0,0,0,0,0,0,0,,,,,12,53.0,4,2.72,1,89
Nathan Kolb,RHP,University of Mary,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Kade Kozak,LHP,Davis and Elkins College,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,3,17.2,0,4.58,0,12
Kyle Kush,IF,Canisius College,NCAA: Division 1,13,33,4,6,1,0,0,4,0,0.182,0.386,0.212,0.598,0,,0,,0,0
Jacob Kush,RHP,University of Missouri,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,9,15.2,2,2.87,0,15
Tauren Langley,INF,Emporia State University,NCAA: Division 2,2,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0,,0,0
Andrew Leggo,OF,Arkansas State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Taylor Lepard,RHP,Southern New Hampshire University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,4,10.0,0,6.3,1,16
Jack Liddell,P,Southern Arkansas University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,2,3.2,0,0.0,0,4
Alex Liem,OF,D'Youville College,NCAA: Division 2,19,43,4,4,1,0,0,2,0,0.093,0.245,0.116,0.361,0,,0,,0,0
Graeham Luttor,1B,Midway University,NAIA,36,0,24,28,7,1,3,20,0,0.224,0.357,0.368,0.725,0,,0,,0,0
