Name,Position,School,Division,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Innings Pitched (IP),Wins (W),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Kobe Fredland,RHP,Williston State,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Daniel Freeman,OF,Cornerstone University,NAIA,16,0,5,19,3,1,0,10,0,0.292,0.309,0.369,0.678,0,,0,,0,0
Lukas Frers,LHP,Galveston,JUCO: Division 1,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11,28.2,1,4.08,0,32
Kyle Froehlich,RHP/IF,Colby,JUCO: Division 1,23,44,8,13,1,0,3,9,1,0.295,0.38,0.523,0.903,10,32.0,1,9.28,0,35
Kieran Gagnon,OF,Gannon University,NCAA: Division 2,20,62,13,23,9,2,0,10,12,0.371,0.435,0.581,1.016,0,,0,,0,0
Jacob Gajic,LHP,Highland (KS),JUCO: Division 1,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,26.1,1,9.57,0,21
Nolan Gallagher,INF,Medaille College,NCAA: Division 3,10,17,1,3,0,1,0,1,0,0.176,0.333,0.294,0.627,0,,0,,0,0
Zach Gardiner,INF/OF,Marshall University,NCAA: Division 1,10,17,4,2,0,0,1,3,0,0.118,0.211,0.294,0.505,0,,0,,0,0
Will Gardner,INF,Garden City,JUCO: Division 1,34,109,30,40,10,1,3,24,3,0.367,0.493,0.56,1.053,0,0.0,0,0.0,0,0
Mac Gatzke,LHP/OF,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Nick George,UT,William Penn University,NAIA,12,0,0,3,0,1,0,3,0,0.2,0.278,0.333,0.611,0,,0,,0,0
Mason Glowacki,IF,East Central University,NCAA: Division 2,2,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Logan Grant,IF/C,Bismarck State,JUCO: Division 2,20,62,14,22,2,2,3,21,4,0.355,0.453,0.597,1.05,0,0.0,0,0.0,0,0
Max Grant,C/3B,Canisius College,NCAA: Division 1,12,34,12,12,1,1,0,6,1,0.353,0.476,0.441,0.917,0,,0,,0,0
Ben Grant,IF,Chandler-Gilbert,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Cody Greenfield,C,Lake Erie College,NCAA: Division 2,9,20,2,1,1,0,0,2,0,0.05,0.208,0.1,0.308,0,,0,,0,0
Joseph Guzzo,LHP,Genesee,JUCO: Division 3,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,24.2,3,10.58,0,33
Braden Halladay,RHP,Penn State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,3,1.1,0,0.0,0,1
Thomas Hanik,RHP,Olympic,NW Athletic Conference,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1.2,0,32.4,0,1
Connor Hanley-Hodge,LHP,Newberry College,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,7,5.0,0,14.4,0,3
Josh Hare,INF,Lourdes University,NAIA,20,0,10,12,2,0,1,9,0,0.222,0.4,0.315,0.715,0,,0,,0,0
Andrew Hazell,RHP,Mars Hill University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,10,38.1,4,5.17,0,29
Tyler Hinrikus,3B/OF,Ball State University,NCAA: Division 1,14,15,2,1,0,0,0,2,0,0.067,0.263,0.067,0.33,0,,0,,0,0
Tanner Hodgson,OF,Mars Hill University,NCAA: Division 2,3,6,0,1,0,0,0,4,0,0.167,0.286,0.167,0.453,0,,0,,0,0
Drew Howard,RHP,Chipola,JUCO: Division 1,15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,15,24.0,1,5.25,1,30
Dylan Howard,C,Frank Phillips,JUCO: Division 1,5,6,1,0,0,0,0,0,0,0.0,0.143,0.0,0.143,0,0.0,0,0.0,0,0
Brady Howg,RHP,Northeastern,JUCO: Division 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Ben Hubert,RHP,Kellogg,JUCO: Division 2,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,12.0,0,2.25,0,9
Ben Hul,OF,Williston State,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Noah Hull,IF/OF,Iowa Western,JUCO: Division 1,26,66,14,22,4,1,2,19,2,0.333,0.384,0.515,0.899,0,0.0,0,0.0,0,0
