title,division,conference,state,location,link,roster_link
Georgia Southern University,D1,Sun Belt,GA,"Statesboro, GA",https://gseagles.com/index.aspx?path=baseball,https://gseagles.com/sports/baseball/roster
Georgia State University,D1,Sun Belt,GA,"Atlanta, GA",http://www.georgiastatesports.com/SportSelect.dbml?DB_OEM_ID=12700&SPID=5651&SPSID=53506,http://www.georgiastatesports.com/sports/baseball/roster
Gonzaga University,D1,West Coast,WA,"Spokane, WA",https://gozags.com/index.aspx?path=baseball,https://gozags.com/sports/baseball/roster
Grambling State University,D1,Southwestern,LA,"Grambling, LA",https://gsutigers.com/index.aspx?path=baseball,https://gsutigers.com/sports/baseball/roster
Grand Canyon University,D1,Western Athletic,AZ,"Phoenix, AZ",https://gculopes.com/index.aspx?path=baseball,https://gculopes.com/sports/baseball/roster
Harvard University,D1,Ivy League,MA,"Cambridge, MA",https://www.gocrimson.com/sports/bsb/index,https://gocrimson.com/sports/baseball/roster
High Point University,D1,Big South,NC,"High Point, NC",https://highpointpanthers.com/index.aspx?path=baseball,https://highpointpanthers.com/sports/baseball/roster
Hofstra University,D1,Colonial,NY,"Hempstead, NY",https://gohofstra.com/index.aspx?path=baseball,https://gohofstra.com/sports/baseball/roster
Houston Baptist University,D1,Southland,TX,"Houston, TX",https://hbuhuskies.com/index.aspx?path=baseball,https://hbuhuskies.com/sports/baseball/roster
Illinois State University,D1,Missouri Valley,IL,"Normal, IL",https://goredbirds.com/index.aspx?path=baseball,https://goredbirds.com/sports/baseball/roster
Indiana State University,D1,Missouri Valley,IN,"Terre Haute, IN",https://gosycamores.com/index.aspx?path=baseball,https://gosycamores.com/sports/baseball/roster
"Indiana University, Bloomington",D1,Big Ten,IN,"Bloomington, IN",https://iuhoosiers.com/index.aspx?path=baseball,https://iuhoosiers.com/sports/baseball/roster
Iona College,D1,Metro Atlantic,NY,"New Rochelle, NY",https://icgaels.com/index.aspx?path=baseball,https://icgaels.com/sports/baseball/roster
