title,division,conference,state,location,link,roster_link
Illinois Wesleyan University,D3,College Conference of Illinois & Wisconsin,IL,"Bloomington, IL",https://www.iwusports.com/index.aspx?path=baseball,https://www.iwusports.com/sports/baseball/roster
Immaculata University,D3,Atlantic East Conference,PA,"Immaculata, PA",https://gomightymacs.com/index.aspx?path=baseball,https://gomightymacs.com/sports/baseball/roster
Iowa Wesleyan University,D3,St. Louis Intercollegiate Athletic Conference,IA,"Mt. Pleasant, IA",https://www.iwtigers.com/sport/0/3,https://www.iwtigers.com/roster/0/3
Ithaca College,D3,Empire 8 Athletic Conference,NY,"Ithaca, NY",https://athletics.ithaca.edu/index.aspx?path=baseball,https://athletics.ithaca.edu/sports/baseball/roster
John Carroll University,D3,Ohio Athletic Conference,OH,"University Heights, OH",https://jcusports.com/index.aspx?path=baseball,https://jcusports.com/sports/baseball/roster
John Jay College,D3,City University of New York Athletic Conference,NY,"New York, NY",https://johnjayathletics.com/index.aspx?path=baseball,https://johnjayathletics.com/sports/baseball/roster
Johns Hopkins University,D3,Centennial Conference,MD,"Baltimore, MD",https://hopkinssports.com/index.aspx?path=baseball,https://hopkinssports.com/sports/baseball/roster
Johnson & Wales University,D3,Great Northeast Athletic Conference,RI,"Providence, RI",https://providence.jwuathletics.com/sports/bsb/index,https://providence.jwuathletics.com/sports/bsb/2020-21/roster
Juniata College,D3,Landmark Conference,PA,"Huntingdon, PA",http://www.juniatasports.net/sports/bsb/index,http://www.juniatasports.net/sports/bsb/2020-21/roster
Kalamazoo College,D3,Michigan Intercollegiate Athletic Association,MI,"Kalamazoo, MI",https://hornets.kzoo.edu/sports/bsb/index,https://hornets.kzoo.edu/sports/bsb/2020-21/roster
Kean University,D3,New Jersey Athletic Conference,NJ,"Union, NJ",https://keanathletics.com/index.aspx?path=baseball,https://keanathletics.com/sports/baseball/roster
Keene State College,D3,Little East Conference,NH,"Keene, NH",http://www.keeneowls.com/sports/bsb/index,https://keeneowls.com/sports/baseball/roster
Kenyon College,D3,North Coast Athletic Conference,OH,"Gambier, OH",https://athletics.kenyon.edu/index.aspx?path=baseball,https://athletics.kenyon.edu/sports/baseball/roster
Keuka College,D3,North Eastern Athletic Conference,NY,"Keuka Park, NY",http://www.keukaathletics.com/sports/bsb/index,http://www.keukaathletics.com/sports/bsb/2020-21/roster
Keystone College,D3,Colonial States Athletic Conference,PA,"La Plume, PA",https://www.gokcgiants.com/,https://www.gokcgiants.com/sports/baseball/roster
King's College,D3,Middle Atlantic Conference,PA,"Wilkes-Barre, PA",https://kingscollegeathletics.com/index.aspx?path=baseball,https://kingscollegeathletics.com/sports/baseball/roster
Knox College,D3,Midwest Conference,IL,"Galesburg, IL",https://prairiefire.knox.edu/index.aspx?path=baseball,https://prairiefire.knox.edu/sports/baseball/roster
La Roche University,D3,Allegheny Mountain Collegiate Conference,PA,"Pittsburgh, PA",https://www.larochesports.com/sports/bsb/index,https://www.larochesports.com/sports/bsb/2020-21/roster
LaGrange College,D3,USA South Athletic Conference,GA,"LaGrange, GA",https://www.lagrangepanthers.com/sports/bsb/index,https://www.lagrangepanthers.com/sports/bsb/2020-21/roster
Lakeland University,D3,Northern Athletics Collegiate Conference,WI,"Plymouth, WI",https://lakelandmuskies.com/index.aspx?path=baseball,https://lakelandmuskies.com/sports/baseball/roster
Lancaster Bible College,D3,North Eastern Athletic Conference,PA,"Lancaster, PA",https://lbcchargers.com/index.aspx?path=baseball,https://lbcchargers.com/roster.aspx?path=baseball
Lasell University,D3,Great Northeast Athletic Conference,MA,"Newton, MA",https://laserpride.lasell.edu/sports/bsb/index,https://laserpride.lasell.edu/sports/bsb/2020-21/roster
Lawrence University,D3,Midwest Conference,WI,"Appleton, WI",http://vikings.lawrence.edu/sports/bsb/index,https://vikings.lawrence.edu/sports/baseball/roster
LeTourneau University,D3,American Southwest Conference,TX,"Longview, TX",https://letuathletics.com/index.aspx?path=baseball,https://letuathletics.com/sports/baseball/roster
Lebanon Valley College,D3,Middle Atlantic Conference,PA,"Annville, PA",https://godutchmen.com/index.aspx?path=baseball,https://godutchmen.com/sports/baseball/roster
Lehman College,D3,City University of New York Athletic Conference,NY,"The Bronx, NY",https://lehmanathletics.com/index.aspx?path=baseball,https://lehmanathletics.com/sports/baseball/roster
Lesley University,D3,New England Collegiate Conference,MA,"Cambridge, MA",https://lesleyathletics.com/sports/bsb/index,https://lesleyathletics.com/sports/bsb/2020-21/roster
Lewis & Clark College,D3,Northwest Conference,OR,"Portland, OR",https://www.lcpioneers.com/sports/bsb/index,https://www.lcpioneers.com/sports/bsb/2020-21/roster
Linfield College,D3,Northwest Conference,OR,"McMinnville, OR",https://golinfieldwildcats.com/index.aspx?path=baseball,https://golinfieldwildcats.com/sports/baseball/roster
Loras College,D3,American Rivers Conference,IA,"Dubuque, IA",https://duhawks.com/index.aspx?path=baseball,https://duhawks.com/sports/baseball/roster
Louisiana College,D3,American Southwest Conference,LA,"Pineville, LA",https://www.lcwildcats.net/index.aspx?path=baseball,https://www.lcwildcats.net/sports/baseball/roster
Luther College,D3,American Rivers Conference,IA,"Decorah, IA",https://www.luther.edu/sports/men/baseball/,https://www.luther.edu/sports/men/baseball/roster
Macalester College,D3,Minnesota Intercollegiate Athletic Conference,MN,"St. Paul, MN",https://athletics.macalester.edu/index.aspx?path=baseball,https://athletics.macalester.edu/sports/baseball/roster
Manchester University,D3,Heartland Collegiate Athletic Conference,IN,"North Manchester, IN",https://www.muspartans.com/sports/bsb/index,https://www.muspartans.com/sports/bsb/2020-21/roster
Manhattanville College,D3,Middle Atlantic Conference,NY,"Purchase, NY",https://govaliants.com/index.aspx?path=baseball,https://govaliants.com/sports/baseball/roster
Maranatha Baptist University,D3,Independent,WI,"Watertown, WI",https://www.mbusabercats.com/sports/bsb/index,https://www.mbusabercats.com/sports/bsb/2020-21/roster
Marian University,D3,Northern Athletics Collegiate Conference,WI,"Fond du Lac, WI",https://www.sabreathletics.com/sports/bsb/index,https://www.sabreathletics.com/sports/bsb/2020-21/roster
Marietta College,D3,Ohio Athletic Conference,OH,"Marietta, OH",https://pioneers.marietta.edu/index.aspx?path=baseball,https://pioneers.marietta.edu/sports/baseball/roster
Martin Luther College,D3,Upper Midwest Athletic Conference,MN,"New Ulm, MN",https://mlcknights.com/index.aspx?path=baseball,https://mlcknights.com/sports/baseball/roster
Mary Baldwin University,D3,USA South Athletic Conference,VA,"Staunton, VA",https://www.marybaldwinathletics.com/sports/bsb/index,https://www.marybaldwinathletics.com/sports/bsb/2020-21/roster
Marymount University,D3,Atlantic East Conference,VA,"Arlington, VA",https://www.marymountsaints.com/sports/bsb/index,https://www.marymountsaints.com/sports/bsb/2020-21/roster
Maryville College,D3,USA South Athletic Conference,TN,"Maryville, TN",https://www.mcscots.com/sports/bsb/index,https://www.mcscots.com/sports/bsb/2020-21/roster
Marywood University,D3,Atlantic East Conference,PA,"Scranton, PA",https://marywoodpacers.com/index.aspx?path=baseball,https://marywoodpacers.com/sports/baseball/roster
Massachusetts College of Liberal Arts,D3,Massachusetts State Collegiate Athletic Conference,MA,"North Adams, MA",http://athletics.mcla.edu/sports/bsb/index,http://athletics.mcla.edu/sports/bsb/2020-21/roster
Massachusetts Institute of Technology,D3,New England Women's and Men's Athletic Conference,MA,"Cambridge, MA",https://www.mitathletics.com/sports/m-basebl/index,https://www.mitathletics.com/sports/m-basebl/2020-21/roster
Massachusetts Maritime Academy,D3,Massachusetts State Collegiate Athletic Conference,MA,"Buzzards Bay, MA",https://www.mmabucs.com/sports/bsb/index,https://www.mmabucs.com/sports/bsb/2020-21/roster
McDaniel College,D3,Centennial Conference,MD,"Westminster, MD",https://www.mcdanielathletics.com/sports/bsb/index,https://www.mcdanielathletics.com/sports/bsb/2020-21/roster
McMurry University,D3,American Southwest Conference,TX,"Abilene, TX",https://mcmurrysports.com/index.aspx?path=baseball,https://mcmurrysports.com/sports/baseball/roster
Medaille College,D3,Allegheny Mountain Collegiate Conference,NY,"Buffalo, NY",https://medaillesports.com/index.aspx?path=baseball,https://medaillesports.com/sports/baseball/roster
Messiah College,D3,Middle Atlantic Conference,PA,"Mechanicsburg, PA",https://gomessiah.com/index.aspx?path=baseball,https://gomessiah.com/sports/baseball/roster
Methodist University,D3,USA South Athletic Conference,NC,"Fayetteville, NC",https://mumonarchs.com/index.aspx?path=baseball,https://mumonarchs.com/sports/baseball/roster
Middlebury College,D3,New England Small College Athletic Conference,VT,"Mddlebury, VT",https://athletics.middlebury.edu/sports/bsb/index,https://athletics.middlebury.edu/sports/baseball/roster
Millikin University,D3,College Conference of Illinois & Wisconsin,IL,"Decatur, IL",https://athletics.millikin.edu/index.aspx?path=baseball,https://athletics.millikin.edu/sports/baseball/roster
Millsaps College,D3,Southern Athletic Association,MS,"Jackson, MS",https://gomajors.com/index.aspx?path=baseball,https://gomajors.com/sports/baseball/roster
Milwaukee School of Engineering,D3,Northern Athletics Collegiate Conference,WI,"Milwaukee, WI",http://www.go-raiders.com/sports/bsb/index,http://www.go-raiders.com/sports/bsb/2020-21/roster
Misericordia University,D3,Middle Atlantic Conference,PA,"Dallas, PA",https://athletics.misericordia.edu/index.aspx?path=baseball,https://athletics.misericordia.edu/sports/baseball/roster
Mitchell College,D3,New England Collegiate Conference,CT,"New London, CT",https://www.mitchellathletics.com/sports/bsb/index,https://www.mitchellathletics.com/sports/bsb/2020-21/roster
Monmouth College,D3,Midwest Conference,IL,"Monmouth, IL",https://monmouthscots.com/index.aspx?path=baseball,https://monmouthscots.com/sports/baseball/roster
Montclair State University,D3,New Jersey Athletic Conference,NJ,"Montclair, NJ",https://montclairathletics.com/index.aspx?path=baseball,https://montclairathletics.com/sports/baseball/roster
Moravian College,D3,Landmark Conference,PA,"Bethlehem, PA",https://www.moraviansports.com/sports/bsb/index,https://www.moraviansports.com/sports/bsb/2020-21/roster
Mount Aloysius College,D3,Allegheny Mountain Collegiate Conference,PA,"Cresson, PA",https://mountieathletics.com/index.aspx?path=baseball,https://mountieathletics.com/sports/baseball/roster
Mount Saint Mary College,D3,Skyline Conference,NY,"Newburgh, NY",https://msmcknights.com/index.aspx?path=baseball,https://msmcknights.com/sports/baseball/roster
Mount St. Joseph University,D3,Heartland Collegiate Athletic Conference,OH,"Cincinnati, OH",https://www.msjsports.com/sports/bsb/index,https://www.msjsports.com/sports/bsb/2020-21/roster
Muhlenberg College,D3,Centennial Conference,PA,"Allentown, PA",https://muhlenbergsports.com/index.aspx?path=baseball,https://muhlenbergsports.com/sports/baseball/roster
Muskingum University,D3,Ohio Athletic Conference,OH,"New Concord, OH",https://www.fightingmuskies.com/sports/bsb/index,https://www.fightingmuskies.com/sports/bsb/2020-21/roster
Nebraska Wesleyan University,D3,American Rivers Conference,NE,"Lincoln, NE",https://nwusports.com/index.aspx?path=baseball,https://nwusports.com/sports/baseball/roster
Neumann University,D3,Atlantic East Conference,PA,"Aston, PA",https://www.neumannathletics.com/index.aspx?path=baseball,https://www.neumannathletics.com/sports/baseball/roster
New England College,D3,New England Collegiate Conference,NH,"Henniker, NH",https://athletics.nec.edu/index.aspx?path=baseball,https://athletics.nec.edu/sports/bsb/2020-21/roster
New Jersey City University,D3,New Jersey Athletic Conference,NJ,"Jersey City, NJ",https://njcugothicknights.com/roster.aspx?path=baseball,https://njcugothicknights.com/sports/baseball/roster
New York University,D3,University Athletic Association,NY,"New York, NY",https://gonyuathletics.com/index.aspx?path=baseball,https://gonyuathletics.com/sports/baseball/roster
Nichols College,D3,Commonwealth Coast Conference,MA,"Dudley, MA",https://nicholsathletics.com/index.aspx?path=baseball,https://nicholsathletics.com/sports/baseball/roster
North Carolina Wesleyan College,D3,USA South Athletic Conference,NC,"Rocky Mount, NC",http://www.ncwcsports.com/sports/bsb/index,http://www.ncwcsports.com/sports/bsb/2020-21/roster
North Central College,D3,College Conference of Illinois & Wisconsin,IL,"Naperville, IL",https://northcentralcardinals.com/index.aspx?path=baseball,https://northcentralcardinals.com/sports/baseball/roster
North Central University,D3,Upper Midwest Athletic Conference,MN,"Minneapolis, MN",https://ncurams.com/index.aspx?path=baseball,https://ncurams.com/sports/baseball/roster
North Park University,D3,College Conference of Illinois & Wisconsin,IL,"Chicago, IL",https://athletics.northpark.edu/index.aspx?path=baseball,https://athletics.northpark.edu/sports/baseball/roster
"Northern Vermont University, Lyndon",D3,North Atlantic Conference,VT,"Lyndonville, VT",https://www.lyndonhornets.com/sports/bsb/index,https://www.lyndonhornets.com/sports/bsb/2020-21/roster
Northland College,D3,Upper Midwest Athletic Conference,WI,"Ashland, WI",https://northlandcollegesports.com/index.aspx?path=baseball,https://northlandcollegesports.com/sports/baseball/roster
Norwich University,D3,Great Northeast Athletic Conference,VT,"Northfield, VT",https://www.norwichathletics.com/sports/bsb/index,https://www.norwichathletics.com/sports/bsb/2020-21/roster
Oberlin College,D3,North Coast Athletic Conference,OH,"Oberlin, OH",https://goyeo.com/index.aspx?path=baseball,https://goyeo.com/sports/baseball/roster
Occidental College,D3,Southern California Intercollegiate Athletic Conference,CA,"Los Angeles, CA",https://www.oxyathletics.com/sports/bsb/index,https://www.oxyathletics.com/sports/bsb/2020-21/roster
Oglethorpe University,D3,Southern Athletic Association,GA,"Atlanta, GA",https://www.gopetrels.com/sports/bsb/index,https://www.gopetrels.com/sports/bsb/2020-21/roster
Ohio Northern University,D3,Ohio Athletic Conference,OH,"Ada, OH",http://www.onusports.com/sports/bsb/index,http://www.onusports.com/sports/bsb/2020-21/roster
Ohio Wesleyan University,D3,North Coast Athletic Conference,OH,"Delaware, OH",https://battlingbishops.com/index.aspx?path=baseball,https://battlingbishops.com/sports/baseball/roster
Olivet College,D3,Michigan Intercollegiate Athletic Association,MI,"Olivet, MI",https://www.olivetcomets.com/sports/bsb/index,https://www.olivetcomets.com/sports/bsb/2020-21/roster
Otterbein University,D3,Ohio Athletic Conference,OH,"Westerville, OH",https://otterbeincardinals.com/index.aspx?path=baseball,https://otterbeincardinals.com/sports/baseball/roster
Pacific Lutheran University,D3,Northwest Conference,WA,"Tacoma, WA",https://golutes.com/index.aspx?path=baseball,https://golutes.com/sports/baseball/roster
Pacific University,D3,Northwest Conference,OR,"Forest Grove, OR",https://goboxers.com/index.aspx?path=baseball,https://goboxers.com/sports/baseball/roster
Pennsylvania College of Technology,D3,North Eastern Athletic Conference,PA,"Williamsport, PA",https://pctwildcats.com/index.aspx?path=baseball,https://pctwildcats.com/sports/baseball/roster
"Pennsylvania State University, Abington",D3,North Eastern Athletic Conference,PA,"Abington, PA",https://abingtonsports.com/index.aspx?path=baseball,https://abingtonsports.com/sports/baseball/roster
"Pennsylvania State University, Altoona",D3,Allegheny Mountain Collegiate Conference,PA,"Altoona, PA",https://www.psaltoonalions.com/sports/bsb/index,https://www.psaltoonalions.com/sports/bsb/2020-21/roster
"Pennsylvania State University, Behrend",D3,Allegheny Mountain Collegiate Conference,PA,"Erie, PA",https://www.psblions.com/sports/bsb/index,https://www.psblions.com/sports/bsb/2020-21/roster
"Pennsylvania State University, Berks",D3,North Eastern Athletic Conference,PA,"Reading, PA",https://psuberksathletics.com/index.aspx?path=baseball,https://psuberksathletics.com/sports/baseball/roster
"Pennsylvania State University, Harrisburg",D3,Capital Athletic Conference Inc.,PA,"Middletown, PA",http://athletics.hbg.psu.edu/sports/bsb/index,http://athletics.hbg.psu.edu/sports/bsb/2020-21/roster
Pfeiffer University,D3,USA South Athletic Conference,NC,"Misenheimer, NC",https://www.gofalconsports.com/sports/bsb/index,https://www.gofalconsports.com/sports/bsb/2020-21/roster
Piedmont College,D3,USA South Athletic Conference,GA,"Demorest, GA",https://piedmontlions.com/index.aspx?path=baseball,https://piedmontlions.com/sports/baseball/roster
Pine Manor College,D3,Capital Athletic Conference Inc.,MA,"Chestnut Hill, MA",https://pmcathletics.com/sports/bsb/index,https://pmcathletics.com/sports/bsb/2020-21/roster
Plattsburgh State University of New York,D3,State University of New York Athletic Conference,NY,"Plattsburgh, NY",https://gocardinalsports.com/index.aspx?path=baseball,https://gocardinalsports.com/sports/baseball/roster
Plymouth State University,D3,Little East Conference,NH,"Plymouth, NH",http://athletics.plymouth.edu/sports/bsb/index,https://athletics.plymouth.edu/sports/baseball/roster
Pomona-Pitzer Colleges,D3,Southern California Intercollegiate Athletic Conference,CA,"Claremont, CA",https://www.sagehens.com/sports/bsb/index,https://www.sagehens.com/sports/bsb/2020-21/roster
Principia College,D3,St. Louis Intercollegiate Athletic Conference,IL,"Elsah, IL",https://principiaathletics.com/index.aspx?path=baseball,https://principiaathletics.com/sports/baseball/roster
"Purchase College, State University of New York",D3,Skyline Conference,NY,"Purchase, NY",https://www.purchasecollegeathletics.com/index.aspx?path=baseball,https://www.purchasecollegeathletics.com/sports/baseball/roster
Ramapo College,D3,New Jersey Athletic Conference,NJ,"Mahwah, NJ",https://ramapoathletics.com/index.aspx?path=baseball,https://ramapoathletics.com/sports/baseball/roster
Randolph-Macon College,D3,Old Dominion Athletic Conference,VA,"Ashland, VA",https://www.rmcathletics.com/sports/bsb/index,https://www.rmcathletics.com/sports/bsb/2020-21/roster
Rensselaer Polytechnic Institute,D3,Liberty League,NY,"Troy, NY",https://rpiathletics.com/index.aspx?path=baseball,https://rpiathletics.com/sports/baseball/roster
Rhode Island College,D3,Little East Conference,RI,"Providence, RI",https://goanchormen.com/sports/bsb/index,https://goanchormen.com/sports/baseball/roster
Rhodes College,D3,Southern Athletic Association,TN,"Memphis, TN",https://rhodeslynx.com/index.aspx?path=baseball,https://rhodeslynx.com/sports/baseball/roster
Ripon College,D3,Midwest Conference,WI,"Ripon, WI",https://riponredhawks.com/index.aspx?path=baseball,https://riponredhawks.com/sports/baseball/roster
Rivier University,D3,Great Northeast Athletic Conference,NH,"Nashua, NH",https://www.rivierathletics.com/sports/bsb/index,https://www.rivierathletics.com/sports/bsb/2020-21/roster
Roanoke College,D3,Old Dominion Athletic Conference,VA,"Salem, VA",https://www.roanokemaroons.com/sports/bsb/index,https://www.roanokemaroons.com/sports/bsb/2020-21/roster
Rochester Institute of Technology,D3,Liberty League,NY,"Rochester, NY",https://ritathletics.com/index.aspx?path=bb,https://ritathletics.com/sports/baseball/roster
Rockford University,D3,Northern Athletics Collegiate Conference,IL,"Rockford, IL",https://www.goregents.com/sports/bsb/index,https://www.goregents.com/sports/bsb/2020-21/roster
Roger Williams University,D3,Commonwealth Coast Conference,RI,"Bristol, RI",https://rwuhawks.com/index.aspx?path=baseball,https://rwuhawks.com/sports/baseball/roster
Rose-Hulman Institute of Technology,D3,Heartland Collegiate Athletic Conference,IN,"Terre Haute, IN",https://rosehulman.prestosports.com/sports/bsb/index,https://rosehulman.prestosports.com/sports/bsb/2020-21/roster
Rowan University,D3,New Jersey Athletic Conference,NJ,"Glassboro, NJ",https://www.rowanathletics.com/index.aspx?path=baseball,https://www.rowanathletics.com/sports/baseball/roster
"Rutgers, Camden",D3,New Jersey Athletic Conference,NJ,"Camden, NJ",https://scarletraptors.com/index.aspx?path=baseball,https://scarletraptors.com/sports/baseball/roster
"Rutgers, Newark",D3,New Jersey Athletic Conference,NJ,"Newark, NJ",https://rutgersnewarkathletics.com/index.aspx?path=baseball,https://rutgersnewarkathletics.com/sports/baseball/roster
Saint Josephs College of Maine,D3,Great Northeast Athletic Conference,ME,"Standish, ME",https://www.gomonks.com/sports/bsb/index,https://www.gomonks.com/sports/bsb/2020-21/roster
Saint Mary's University of Minnesota,D3,Minnesota Intercollegiate Athletic Conference,MN,"Winona, MN",https://saintmaryssports.com/index.aspx?path=baseball,https://saintmaryssports.com/sports/baseball/roster
Saint Vincent College,D3,Presidents' Athletic Conference,PA,"Latrobe, PA",https://athletics.stvincent.edu/index.aspx?path=baseball,https://athletics.stvincent.edu/sports/baseball/roster
Salem State University,D3,Massachusetts State Collegiate Athletic Conference,MA,"Salem, MA",https://www.salemstatevikings.com/sports/bsb/index,https://www.salemstatevikings.com/sports/bsb/2020-21/roster
Salisbury University,D3,Capital Athletic Conference Inc.,MD,"Salisbury, MD",https://www.suseagulls.com/sports/bsb/index,https://www.suseagulls.com/sports/bsb/2020-21/roster
Salve Regina University,D3,Commonwealth Coast Conference,RI,"Newport, RI",https://www.salveathletics.com/sports/bsb/index,https://www.salveathletics.com/sports/bsb/2020-21/roster
Schreiner University,D3,Southern Collegiate Athletic Conference,TX,"Kerrville, TX",https://schreinermountaineers.com/sports/bsb/index,https://schreinermountaineers.com/sports/bsb/2020-21/roster
Sewanee University of The South,D3,Southern Athletic Association,TN,"Sewanee, TN",https://www.sewaneetigers.com/sports/bsb/index,https://www.sewaneetigers.com/sports/bsb/2020-21/roster
Shenandoah University,D3,Old Dominion Athletic Conference,VA,"Winchester, VA",https://suhornets.com/sports/baseball,https://suhornets.com/sports/baseball/roster
Simpson College,D3,American Rivers Conference,IA,"Indianola, IA",http://www.simpsonathletics.com/sports/bsb/index,http://www.simpsonathletics.com/sports/bsb/2020-21/roster
Skidmore College,D3,Liberty League,NY,"Saratoga Springs, NY",https://skidmoreathletics.com/index.aspx?path=baseball,https://skidmoreathletics.com/sports/baseball/roster
Southern Virginia University,D3,Capital Athletic Conference Inc.,VA,"Buena Vista, VA",http://athletics.svu.edu/sports/bsb/index,http://athletics.svu.edu/sports/bsb/2020-21/roster
Southwestern University,D3,Southern Collegiate Athletic Conference,TX,"Georgetown, TX",https://www.southwesternpirates.com/sports/m-basebl/index,https://www.southwesternpirates.com/sports/m-basebl/2020-21/roster
Spalding University,D3,St. Louis Intercollegiate Athletic Conference,KY,"Louisville, KY",https://spaldingathletics.com/index.aspx?path=baseball,https://spaldingathletics.com/sports/baseball/roster
Springfield College,D3,New England Women's and Men's Athletic Conference,MA,"Springfield, MA",https://springfieldcollegepride.com/sports/bsb/index,https://springfieldcollegepride.com/sports/bsb/2020-21/roster
St. John Fisher College,D3,Empire 8 Athletic Conference,NY,"Rochester, NY",https://athletics.sjfc.edu/index.aspx?path=baseball,https://athletics.sjfc.edu/sports/baseball/roster
St. John's University,D3,Minnesota Intercollegiate Athletic Conference,MN,"Collegeville, MN",https://gojohnnies.com/sports/baseball,https://gojohnnies.com/sports/baseball/roster
"St. Joseph's College, Brooklyn",D3,Skyline Conference,NY,"Brooklyn, NY",http://www.sjcbears.com/sports/bsb/index,http://www.sjcbears.com/sports/bsb/2020-21/roster
"St. Joseph's College, Long Island",D3,Skyline Conference,NY,"Patchogue, NY",https://www.sjcgoldeneagles.com/sports/bsb/index,https://www.sjcgoldeneagles.com/sports/bsb/2020-21/roster
St. Lawrence University,D3,Liberty League,NY,"Canton, NY",https://saintsathletics.com/index.aspx?path=baseball,https://saintsathletics.com/sports/baseball/roster
St. Mary's College of Maryland,D3,Capital Athletic Conference Inc.,MD,"St. Marys City, MD",https://www.smcmathletics.com/sports/bsb/index,https://smcmathletics.com/sports/baseball/roster
St. Norbert College,D3,Northern Athletics Collegiate Conference,WI,"De Pere, WI",https://www.snc.edu/athletics/baseball/,https://athletics.snc.edu/sports/baseball/roster
St. Olaf College,D3,Minnesota Intercollegiate Athletic Conference,MN,"Northfield, MN",https://athletics.stolaf.edu/index.aspx?path=baseball,https://athletics.stolaf.edu/sports/baseball/roster
State University College at Old Westbury,D3,Skyline Conference,NY,"Old Westbury, NY",https://www.oldwestburypanthers.com/index.aspx?path=baseball,https://www.oldwestburypanthers.com/sports/baseball/roster
State University of New York Maritime College,D3,Skyline Conference,NY,"The Bronx, NY",https://maritimeathletics.com/sports/baseball,https://maritimeathletics.com/sports/baseball/roster
State University of New York Polytechnic Institute,D3,North Eastern Athletic Conference,NY,"Utica, NY",http://wildcats.sunypoly.edu/sports/bsb/index,http://wildcats.sunypoly.edu/sports/bsb/2020-21/roster
State University of New York at Canton,D3,Empire 8 Athletic Conference,NY,"Canton, NY",https://rooathletics.com/index.aspx?path=baseball,https://rooathletics.com/sports/baseball/roster
State University of New York at Cobleskill,D3,North Eastern Athletic Conference,NY,"Cobleskill, NY",https://fightingtigers.cobleskill.edu/index.aspx?path=baseball,https://fightingtigers.cobleskill.edu/sports/baseball/roster
State University of New York at Cortland,D3,State University of New York Athletic Conference,NY,"Cortland, NY",https://www.cortlandreddragons.com/index.aspx?path=baseball,https://www.cortlandreddragons.com/sports/baseball/roster
State University of New York at New Paltz,D3,State University of New York Athletic Conference,NY,"New Paltz, NY",https://nphawks.com/index.aspx?path=baseball,https://nphawks.com/sports/baseball/roster
State University of New York at Oneonta,D3,State University of New York Athletic Conference,NY,"Oneonta, NY",https://oneontaathletics.com/index.aspx?path=baseball,https://oneontaathletics.com/sports/baseball/roster
State University of New York at Oswego,D3,State University of New York Athletic Conference,NY,"Oswego, NY",https://oswegolakers.com/index.aspx?path=baseball,https://oswegolakers.com/sports/baseball/roster
Stevens Institute of Technology,D3,Empire 8 Athletic Conference,NJ,"Hoboken, NJ",https://stevensducks.com/index.aspx?path=baseball,https://stevensducks.com/sports/baseball/roster
Stevenson University,D3,Middle Atlantic Conference,MD,"Owings Mills, MD",https://www.gomustangsports.com/sports/bsb/index,https://www.gomustangsports.com/sports/bsb/2020-21/roster
Stockton University,D3,New Jersey Athletic Conference,NJ,"Galloway, NJ",https://stocktonathletics.com/index.aspx?path=baseball,https://stocktonathletics.com/sports/baseball/roster
Suffolk University,D3,Commonwealth Coast Conference,MA,"Boston, MA",https://www.gosuffolkrams.com/sports/bsb/index,https://www.gosuffolkrams.com/sports/bsb/2020-21/roster
Sul Ross State University,D3,American Southwest Conference,TX,"Alpine, TX",https://srlobos.com/index.aspx?path=baseball,https://srlobos.com/sports/baseball/roster
Susquehanna University,D3,Landmark Conference,PA,"Selinsgrove, PA",https://suriverhawks.com/index.aspx?path=baseball,https://suriverhawks.com/sports/baseball/roster
Swarthmore College,D3,Centennial Conference,PA,"Swarthmore, PA",https://swarthmoreathletics.com/index.aspx?path=baseball,https://swarthmoreathletics.com/sports/baseball/roster
Texas Lutheran University,D3,Southern Collegiate Athletic Conference,TX,"Seguin, TX",https://tlubulldogs.com/sports/bsb/index,https://tlubulldogs.com/sports/bsb/2020-21/roster
The City College of New York,D3,City University of New York Athletic Conference,NY,"New York, NY",https://ccnyathletics.com/index.aspx?path=baseball,https://ccnyathletics.com/sports/baseball/roster
The College of New Jersey,D3,New Jersey Athletic Conference,NJ,"Ewing Township, NJ",https://tcnjathletics.com/index.aspx?path=bb,https://tcnjathletics.com/sports/baseball/roster
The College of St. Scholastica,D3,Minnesota Intercollegiate Athletic Conference,MN,"Duluth, MN",https://csssaints.com/index.aspx?path=baseball,https://csssaints.com/sports/baseball/roster
The College of Wooster,D3,North Coast Athletic Conference,OH,"Wooster, OH",https://www.woosterathletics.com/sports/bsb/index,https://www.woosterathletics.com/sports/bsb/2020-21/roster
The State University of New York at Fredonia,D3,State University of New York Athletic Conference,NY,"Fredonia, NY",https://fredoniabluedevils.com/index.aspx?path=baseball,https://fredoniabluedevils.com/sports/baseball/roster
Thiel College,D3,Presidents' Athletic Conference,PA,"Greenville, PA",https://thielathletics.com/index.aspx?path=baseball,https://thielathletics.com/sports/baseball/roster
Thomas College,D3,North Atlantic Conference,ME,"Waterville, ME",http://athletics.thomas.edu/sports/bsb/index,https://athletics.thomas.edu/sports/baseball/roster
Transylvania University,D3,Heartland Collegiate Athletic Conference,KY,"Lexington, KY",https://www.transysports.com/sports/bsb/index,https://www.transysports.com/sports/baseball/roster
Trine University,D3,Michigan Intercollegiate Athletic Association,IN,"Angola, IN",https://www.trinethunder.com/sports/bsb/index,https://www.trinethunder.com/sports/bsb/2020-21/roster
Trinity College,D3,New England Small College Athletic Conference,CT,"Hartford, CT",https://www.bantamsports.com/sports/bsb/index,https://bantamsports.com/sports/baseball/roster
